epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.89172,0.76454,0.60256,1,0.68003,8.335e-05,8.335e-05,8.335e-05
2,8.25783,0.64892,0.65385,1,0.59472,0.000165216,0.000165216,0.000165216
3,11.4987,0.53277,0.73077,1,0.50378,0.000227279,0.000227279,0.000227279
4,14.875,0.45304,0.84615,1,0.39834,0.000269537,0.000269537,0.000269537
5,18.3075,0.38113,0.91026,1,0.3173,0.000291992,0.000291992,0.000291992
6,21.476,0.32067,0.94872,1,0.22529,0.000294642,0.000294642,0.000294642
7,24.657,0.31531,0.96154,1,0.16976,0.000277489,0.000277489,0.000277489
8,27.7735,0.23761,0.97436,1,0.14734,0.000240531,0.000240531,0.000240531
9,31.0069,0.16092,0.97436,1,0.13132,0.00018377,0.00018377,0.00018377
10,34.1746,0.15077,0.97436,1,0.13681,0.000107205,0.000107205,0.000107205
